,ID Iklan,city,lat,lng,area,url,building_area,land_area,total_area,Bedroom,Bathroom,Sertifikat,Dilengkapi Perabotan,Kondisi Properti,Jumlah Lantai,price_per_m2,price
11,hos4587688,Jakarta Utara,-6.138414,106.863956,Taman Grisenda,https://www.rumah123.com/properti/jakarta-utara/hos4587688,165.0,77.0,242.0,3,3,0.0,1.0,2.0,3,11570247.93,2800000000.0
12,hos4614507,Jakarta Utara,-6.138414,106.863956,Sunter,https://www.rumah123.com/properti/jakarta-utara/hos4614507,250.0,150.0,400.0,3,3,0.0,1.0,1.0,2,9250000.0,3700000000.0
13,hos5012581,Jakarta Utara,-6.138414,106.863956,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara/hos5012581,1150.0,312.0,1462.0,5,5,0.0,0.0,0.0,4,12859097.13,18800000000.0
14,hos5600228,Jakarta Utara,-6.138414,106.863956,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara/hos5600228,169.0,120.0,289.0,4,3,1.0,2.0,1.0,2,11418685.12,3300000000.0
15,hos5879363,Jakarta Utara,-6.138414,106.863956,Kelapa Gading,https://www.rumah123.com/properti/jakarta-utara/hos5879363,140.0,91.0,231.0,4,3,0.0,1.0,2.0,2,8658008.66,2000000000.0
16,hos5879468,Jakarta Utara,-6.138414,106.863956,Sunter,https://www.rumah123.com/properti/jakarta-utara/hos5879468,450.0,300.0,750.0,4,5,0.0,2.0,2.0,2,14666666.67,11000000000.0
17,hos5919950,Jakarta Utara,-6.138414,106.863956,Kelapa Gading,https://www.rumah123.com/properti/jakarta-utara/hos5919950,500.0,250.0,750.0,5,3,0.0,1.0,1.0,3,11333333.33,8500000000.0
18,hos5968338,Jakarta Utara,-6.138414,106.863956,Kelapa Gading,https://www.rumah123.com/properti/jakarta-utara/hos5968338,112.0,96.0,208.0,3,2,1.0,2.0,2.0,2,11057692.31,2300000000.0
19,hos6070423,Jakarta Utara,-6.138414,106.863956,Sunter,https://www.rumah123.com/properti/jakarta-utara/hos6070423,150.0,96.0,246.0,3,2,0.0,0.0,1.0,2,10162601.63,2500000000.0
20,hos6225124,Jakarta Utara,-6.138414,106.863956,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara/hos6225124,120.0,160.0,280.0,3,2,1.0,0.0,0.0,2,14642857.14,4100000000.0
21,hos6228866,Jakarta Utara,-6.138414,106.863956,Sunter,https://www.rumah123.com/properti/jakarta-utara/hos6228866,320.0,224.0,544.0,4,3,0.0,0.0,1.0,2,7334558.82,3990000000.0
22,hos6236866,Jakarta Utara,-6.138414,106.863956,Pluit,https://www.rumah123.com/properti/jakarta-utara/hos6236866,330.0,220.0,550.0,5,5,0.0,1.0,0.0,2,12363636.36,6800000000.0
23,hos6274569,Jakarta Utara,-6.138414,106.863956,Kelapa Gading,https://www.rumah123.com/properti/jakarta-utara/hos6274569,242.0,242.0,484.0,4,4,1.0,2.0,1.0,3,10330578.51,5000000000.0
24,hos6469096,Jakarta Utara,-6.138414,106.863956,Kelapa Gading,https://www.rumah123.com/properti/jakarta-utara/hos6469096,600.0,414.0,1014.0,5,5,0.0,0.0,2.0,2,7692307.69,7800000000.0
25,hos6600025,Jakarta Utara,-6.138414,106.863956,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara/hos6600025,360.0,192.0,552.0,4,3,0.0,1.0,3.0,3,17481884.06,9650000000.0
26,hos6612710,Jakarta Utara,-6.138414,106.863956,Kelapa Gading,https://www.rumah123.com/properti/jakarta-utara/hos6612710,197.0,153.0,350.0,4,3,0.0,1.0,2.0,2,16000000.0,5600000000.0
27,hos6671639,Jakarta Utara,-6.138414,106.863956,Kelapa Gading,https://www.rumah123.com/properti/jakarta-utara/hos6671639,120.0,60.0,180.0,3,3,0.0,0.0,0.0,2,10555555.56,1900000000.0
28,hos6765701,Jakarta Utara,-6.138414,106.863956,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara/hos6765701,360.0,240.0,600.0,4,4,0.0,1.0,1.0,2,16666666.67,10000000000.0
29,hos6810795,Jakarta Utara,-6.138414,106.863956,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara/hos6810795,300.0,250.0,550.0,5,4,0.0,2.0,1.0,2,30909090.91,17000000000.0
30,hos6968168,Jakarta Utara,-6.138414,106.863956,Sunter,https://www.rumah123.com/properti/jakarta-utara/hos6968168,550.0,220.0,770.0,4,6,1.0,1.0,1.0,3,7467532.47,5750000000.0
31,hos6975105,Jakarta Utara,-6.138414,106.863956,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara/hos6975105,357.0,700.0,1057.0,4,3,0.0,1.0,1.0,3,15137180.7,16000000000.0
32,hos6993427,Jakarta Utara,-6.138414,106.863956,Kelapa Gading,https://www.rumah123.com/properti/jakarta-utara/hos6993427,90.0,60.0,150.0,3,2,0.0,0.0,0.0,2,11666666.67,1750000000.0
33,hos7001306,Jakarta Utara,-6.138414,106.863956,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara/hos7001306,800.0,305.0,1105.0,5,6,0.0,2.0,1.0,4,17194570.14,19000000000.0
34,hos7002424,Jakarta Utara,-6.138414,106.863956,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara/hos7002424,400.0,175.0,575.0,5,5,0.0,2.0,2.0,3,10000000.0,5750000000.0
35,hos7049253,Jakarta Utara,-6.138414,106.863956,Muara Karang,https://www.rumah123.com/properti/jakarta-utara/hos7049253,180.0,90.0,270.0,3,3,0.0,0.0,1.0,3,12962962.96,3500000000.0
36,hos7093306,Jakarta Utara,-6.138414,106.863956,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara/hos7093306,160.0,160.0,320.0,5,4,0.0,1.0,2.0,3,18750000.0,6000000000.0
37,hos7096752,Jakarta Utara,-6.138414,106.863956,Sunter,https://www.rumah123.com/properti/jakarta-utara/hos7096752,500.0,420.0,920.0,5,4,0.0,0.0,2.0,2,19565217.39,18000000000.0
38,hos7109597,Jakarta Utara,-6.138414,106.863956,Bandengan,https://www.rumah123.com/properti/jakarta-utara/hos7109597,389.0,192.0,581.0,3,2,0.0,0.0,4.0,3,6712564.54,3900000000.0
39,hos7110259,Jakarta Utara,-6.138414,106.863956,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara/hos7110259,368.0,184.0,552.0,5,3,0.0,1.0,2.0,2,9963768.12,5500000000.0
40,hos7124551,Jakarta Utara,-6.138414,106.863956,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara/hos7124551,450.0,276.0,726.0,4,4,0.0,1.0,1.0,2,16528925.62,12000000000.0
41,hos7142823,Jakarta Utara,-6.138414,106.863956,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara/hos7142823,1120.0,586.0,1706.0,7,7,0.0,1.0,1.0,3,19343493.55,33000000000.0
42,hos7148997,Jakarta Utara,-6.138414,106.863956,Sunter,https://www.rumah123.com/properti/jakarta-utara/hos7148997,190.0,300.0,490.0,3,2,0.0,0.0,2.0,2,14285714.29,7000000000.0
43,hos7149071,Jakarta Utara,-6.138414,106.863956,Sunter,https://www.rumah123.com/properti/jakarta-utara/hos7149071,180.0,200.0,380.0,3,3,0.0,1.0,2.0,2,13157894.74,5000000000.0
44,hos7239649,Jakarta Utara,-6.138414,106.863956,Muara Karang,https://www.rumah123.com/properti/jakarta-utara/hos7239649,600.0,559.0,1159.0,4,3,0.0,1.0,2.0,2,8714408.97,10100000000.0
45,hos7253105,Jakarta Utara,-6.138414,106.863956,Kelapa Gading,https://www.rumah123.com/properti/jakarta-utara/hos7253105,233.0,180.0,413.0,3,3,0.0,0.0,0.0,3,18159806.3,7500000000.0
46,hos7254826,Jakarta Utara,-6.138414,106.863956,Kelapa Gading,https://www.rumah123.com/properti/jakarta-utara/hos7254826,350.0,220.0,570.0,5,3,1.0,0.0,2.0,2,12192982.46,6950000000.0
47,hos7264216,Jakarta Utara,-6.138414,106.863956,Kelapa Gading,https://www.rumah123.com/properti/jakarta-utara/hos7264216,500.0,420.0,920.0,5,5,0.0,1.0,2.0,2,27163043.48,24990000000.0
48,hos7266345,Jakarta Utara,-6.138414,106.863956,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara/hos7266345,400.0,337.0,737.0,4,4,0.0,1.0,3.0,2,16960651.29,12500000000.0
49,hos7270273,Jakarta Utara,-6.138414,106.863956,Kelapa Gading,https://www.rumah123.com/properti/jakarta-utara/hos7270273,180.0,90.0,270.0,2,2,0.0,0.0,1.0,3,10185185.19,2750000000.0
50,hos7278366,Jakarta Utara,-6.138414,106.863956,Muara Karang,https://www.rumah123.com/properti/jakarta-utara/hos7278366,450.0,300.0,750.0,4,4,0.0,1.0,4.0,2,12333333.33,9250000000.0
51,hos7282192,Jakarta Utara,-6.138414,106.863956,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara/hos7282192,180.0,128.0,308.0,3,3,0.0,1.0,1.0,2,14610389.61,4500000000.0
52,hos7287542,Jakarta Utara,-6.138414,106.863956,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara/hos7287542,800.0,290.0,1090.0,5,5,0.0,1.0,1.0,3,15137614.68,16500000000.0
53,hos7301090,Jakarta Utara,-6.138414,106.863956,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara/hos7301090,200.0,150.0,350.0,3,4,0.0,2.0,3.0,2,18571428.57,6500000000.0
54,hos7305248,Jakarta Utara,-6.138414,106.863956,Muara Karang,https://www.rumah123.com/properti/jakarta-utara/hos7305248,100.0,150.0,250.0,2,2,0.0,0.0,4.0,1,12800000.0,3200000000.0
55,hos7320043,Jakarta Utara,-6.138414,106.863956,Pademangan,https://www.rumah123.com/properti/jakarta-utara/hos7320043,960.0,225.0,1185.0,43,45,0.0,1.0,0.0,6,10523206.75,12470000000.0
56,hos7340908,Jakarta Utara,-6.138414,106.863956,Pluit,https://www.rumah123.com/properti/jakarta-utara/hos7340908,388.0,250.0,638.0,3,3,0.0,2.0,2.0,2,10188087.77,6500000000.0
57,hos7352380,Jakarta Utara,-6.138414,106.863956,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara/hos7352380,300.0,270.0,570.0,4,3,1.0,0.0,1.0,2,17543859.65,10000000000.0
58,hos7358985,Jakarta Utara,-6.138414,106.863956,Kelapa Gading,https://www.rumah123.com/properti/jakarta-utara/hos7358985,750.0,530.0,1280.0,4,4,1.0,0.0,0.0,2,9765625.0,12500000000.0
59,hos7371114,Jakarta Utara,-6.138414,106.863956,Pluit,https://www.rumah123.com/properti/jakarta-utara/hos7371114,280.0,158.0,438.0,3,3,0.0,1.0,2.0,4,12100456.62,5300000000.0
60,hos7379442,Jakarta Utara,-6.138414,106.863956,Pantai Mutiara,https://www.rumah123.com/properti/jakarta-utara/hos7379442,800.0,620.0,1420.0,4,4,1.0,1.0,1.0,2,15492957.75,22000000000.0
61,hos7384742,Jakarta Utara,-6.138414,106.863956,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara/hos7384742,136.0,136.0,272.0,4,3,0.0,2.0,2.0,3,25000000.0,6800000000.0
62,hos7385681,Jakarta Utara,-6.138414,106.863956,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara/hos7385681,400.0,250.0,650.0,4,4,0.0,1.0,2.0,2,18461538.46,12000000000.0
63,hos7385817,Jakarta Utara,-6.138414,106.863956,Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara/hos7385817,120.0,120.0,240.0,4,4,0.0,2.0,2.0,3,28750000.0,6900000000.0
64,hos7385972,Jakarta Utara,-6.138414,106.863956,Sunter,https://www.rumah123.com/properti/jakarta-utara/hos7385972,110.0,150.0,260.0,3,2,0.0,1.0,2.0,2,10961538.46,2850000000.0
65,hos7395858,Jakarta Utara,-6.138414,106.863956,Pademangan,https://www.rumah123.com/properti/jakarta-utara/hos7395858,980.0,225.0,1205.0,45,48,0.0,2.0,0.0,6,9517842.32,11469000000.0
66,hos1597842,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos1597842,800.0,874.0,1674.0,5,4,0.0,0.0,1.0,2,44802867.38,75000000000.0
67,hos2012624,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos2012624,1000.0,780.0,1780.0,5,5,0.0,2.0,1.0,2,50561797.75,90000000000.0
68,hos2250356,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos2250356,920.0,1100.0,2020.0,5,5,0.0,1.0,1.0,2,61881188.12,125000000000.0
69,hos2430615,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos2430615,1000.0,525.0,1525.0,5,4,0.0,0.0,0.0,2,28852459.02,44000000000.0
70,hos2993658,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos2993658,1000.0,1405.0,2405.0,5,4,0.0,0.0,2.0,2,58212058.21,140000000000.0
71,hos3751363,Jakarta Pusat,-6.186486,106.834091,Cempaka Putih,https://www.rumah123.com/properti/jakarta-pusat/hos3751363,300.0,216.0,516.0,4,4,0.0,0.0,0.0,2,12209302.33,6300000000.0
72,hos4197815,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos4197815,450.0,667.0,1117.0,5,4,0.0,1.0,2.0,2,44762757.39,50000000000.0
73,hos4206325,Jakarta Pusat,-6.186486,106.834091,Senen,https://www.rumah123.com/properti/jakarta-pusat/hos4206325,308.0,675.0,983.0,5,3,0.0,0.0,2.0,1,11673448.63,11475000000.0
74,hos4280007,Jakarta Pusat,-6.186486,106.834091,KH Mas Mansyur,https://www.rumah123.com/properti/jakarta-pusat/hos4280007,400.0,793.0,1193.0,4,3,0.0,0.0,2.0,1,33528918.69,40000000000.0
75,hos4528381,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos4528381,1200.0,1168.0,2368.0,5,6,0.0,0.0,3.0,2,67567567.57,160000000000.0
76,hos5104622,Jakarta Pusat,-6.186486,106.834091,Pasar Baru,https://www.rumah123.com/properti/jakarta-pusat/hos5104622,90.0,35.0,125.0,3,3,0.0,0.0,0.0,3,11920000.0,1490000000.0
77,hos5391127,Jakarta Pusat,-6.186486,106.834091,Kebon Kacang,https://www.rumah123.com/properti/jakarta-pusat/hos5391127,800.0,492.0,1292.0,5,8,0.0,1.0,1.0,2,18328173.37,23680000000.0
78,hos5401889,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos5401889,1000.0,1269.0,2269.0,7,7,0.0,0.0,2.0,2,30850594.98,70000000000.0
79,hos5433038,Jakarta Pusat,-6.186486,106.834091,Cempaka Putih,https://www.rumah123.com/properti/jakarta-pusat/hos5433038,300.0,216.0,516.0,4,4,0.0,1.0,0.0,2,15310077.52,7900000000.0
80,hos5854559,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos5854559,400.0,766.0,1166.0,4,4,0.0,0.0,2.0,3,31303602.06,36500000000.0
81,hos5879377,Jakarta Pusat,-6.186486,106.834091,Cempaka Putih,https://www.rumah123.com/properti/jakarta-pusat/hos5879377,380.0,160.0,540.0,18,17,0.0,2.0,1.0,3,12777777.78,6900000000.0
82,hos6070273,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos6070273,2000.0,800.0,2800.0,7,8,0.0,1.0,0.0,3,28571428.57,80000000000.0
83,hos6165599,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos6165599,2300.0,800.0,3100.0,7,8,0.0,0.0,1.0,3,25806451.61,80000000000.0
84,hos6203070,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos6203070,900.0,586.0,1486.0,5,4,0.0,1.0,1.0,2,26917900.4,40000000000.0
85,hos6314318,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos6314318,400.0,588.0,988.0,18,5,1.0,0.0,3.0,2,42510121.46,42000000000.0
86,hos6334532,Jakarta Pusat,-6.186486,106.834091,Roxy,https://www.rumah123.com/properti/jakarta-pusat/hos6334532,900.0,300.0,1200.0,55,55,0.0,1.0,0.0,3,8333333.33,10000000000.0
87,hos6344011,Jakarta Pusat,-6.186486,106.834091,Cempaka Putih,https://www.rumah123.com/properti/jakarta-pusat/hos6344011,300.0,493.0,793.0,6,4,0.0,1.0,2.0,2,22572509.46,17900000000.0
88,hos6383816,Jakarta Pusat,-6.186486,106.834091,Petojo,https://www.rumah123.com/properti/jakarta-pusat/hos6383816,295.0,295.0,590.0,3,2,0.0,2.0,2.0,2,11355932.2,6700000000.0
89,hos6440359,Jakarta Pusat,-6.186486,106.834091,Kemayoran,https://www.rumah123.com/properti/jakarta-pusat/hos6440359,275.0,298.0,573.0,2,3,0.0,0.0,2.0,1,7678883.07,4400000000.0
90,hos6503243,Jakarta Pusat,-6.186486,106.834091,Cempaka Putih,https://www.rumah123.com/properti/jakarta-pusat/hos6503243,500.0,525.0,1025.0,5,4,0.0,0.0,2.0,2,10731707.32,11000000000.0
91,hos6514346,Jakarta Pusat,-6.186486,106.834091,Cempaka Putih,https://www.rumah123.com/properti/jakarta-pusat/hos6514346,300.0,216.0,516.0,5,5,0.0,0.0,0.0,2,11627906.98,6000000000.0
92,hos6591964,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos6591964,750.0,821.0,1571.0,6,4,0.0,2.0,1.0,1,31826861.87,50000000000.0
93,hos6605905,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos6605905,1176.0,1200.0,2376.0,4,6,0.0,1.0,1.0,2,67340067.34,160000000000.0
94,hos6691768,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos6691768,1200.0,1176.0,2376.0,4,6,0.0,0.0,1.0,2,71548821.55,170000000000.0
95,hos6776529,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos6776529,2300.0,800.0,3100.0,7,8,0.0,1.0,0.0,4,25806451.61,80000000000.0
96,hos6898529,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos6898529,600.0,485.0,1085.0,4,4,0.0,1.0,0.0,2,46082949.31,50000000000.0
97,hos6898661,Jakarta Pusat,-6.186486,106.834091,Bendungan Hilir,https://www.rumah123.com/properti/jakarta-pusat/hos6898661,400.0,349.0,749.0,13,7,0.0,0.0,2.0,2,20026702.27,15000000000.0
98,hos6909932,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos6909932,600.0,836.0,1436.0,5,4,0.0,0.0,4.0,2,37952646.24,54500000000.0
99,hos6976988,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos6976988,600.0,886.0,1486.0,4,4,0.0,0.0,1.0,2,32301480.48,48000000000.0
100,hos7054351,Jakarta Pusat,-6.186486,106.834091,Cempaka Putih,https://www.rumah123.com/properti/jakarta-pusat/hos7054351,513.0,644.0,1157.0,5,3,0.0,1.0,2.0,2,11668107.17,13500000000.0
101,hos7097432,Jakarta Pusat,-6.186486,106.834091,Kebon Kacang,https://www.rumah123.com/properti/jakarta-pusat/hos7097432,200.0,290.0,490.0,4,2,0.0,0.0,4.0,1,32653061.22,16000000000.0
102,hos7179579,Jakarta Pusat,-6.186486,106.834091,Cempaka Putih,https://www.rumah123.com/properti/jakarta-pusat/hos7179579,197.0,151.0,348.0,3,3,0.0,0.0,1.0,2,15229885.06,5300000000.0
103,hos7228952,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos7228952,800.0,1250.0,2050.0,5,5,0.0,0.0,4.0,2,60975609.76,125000000000.0
104,hos7243474,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos7243474,821.0,750.0,1571.0,5,6,0.0,1.0,2.0,1,31826861.87,50000000000.0
105,hos7248669,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos7248669,600.0,800.0,1400.0,4,4,0.0,1.0,4.0,2,45714285.71,64000000000.0
106,hos7256559,Jakarta Pusat,-6.186486,106.834091,Cempaka Putih,https://www.rumah123.com/properti/jakarta-pusat/hos7256559,32.0,16.0,48.0,2,2,0.0,0.0,1.0,2,11166666.67,536000000.0
107,hos7295116,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos7295116,1000.0,525.0,1525.0,4,5,0.0,0.0,0.0,3,30163934.43,46000000000.0
108,hos7310669,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos7310669,249.0,510.0,759.0,5,4,0.0,0.0,2.0,2,67193675.89,51000000000.0
109,hos7316126,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos7316126,800.0,716.0,1516.0,5,4,0.0,0.0,4.0,2,39577836.41,60000000000.0
110,hos7327278,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos7327278,700.0,1400.0,2100.0,6,4,0.0,0.0,4.0,1,23809523.81,49999999999.0
111,hos7327429,Jakarta Pusat,-6.186486,106.834091,Cempaka Putih,https://www.rumah123.com/properti/jakarta-pusat/hos7327429,280.0,160.0,440.0,5,4,0.0,0.0,4.0,2,4292954.54,1888899999.0
112,hos7330096,Jakarta Pusat,-6.186486,106.834091,Percetakan Negara,https://www.rumah123.com/properti/jakarta-pusat/hos7330096,110.0,130.0,240.0,3,2,0.0,0.0,4.0,2,6065282.45,1455667789.0
113,hos7334442,Jakarta Pusat,-6.186486,106.834091,Thamrin,https://www.rumah123.com/properti/jakarta-pusat/hos7334442,2000.0,700.0,2700.0,8,8,0.0,0.0,3.0,2,38888888.89,105000000000.0
114,hos7342589,Jakarta Pusat,-6.186486,106.834091,Cempaka Putih,https://www.rumah123.com/properti/jakarta-pusat/hos7342589,400.0,225.0,625.0,14,10,0.0,1.0,0.0,3,5600000.0,3500000000.0
115,hos7348721,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos7348721,1000.0,1260.0,2260.0,7,8,0.0,0.0,2.0,2,30973451.33,70000000000.0
116,hos7370678,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos7370678,500.0,766.0,1266.0,6,4,0.0,0.0,4.0,1,28436019.75,36000000999.0
117,hos7375313,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos7375313,1500.0,2719.0,4219.0,7,6,0.0,0.0,1.0,2,154064944.3,650000000000.0
118,hos7377807,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos7377807,180.0,200.0,380.0,5,3,0.0,0.0,4.0,1,28947368.42,10999999999.0
119,hos7378430,Jakarta Pusat,-6.186486,106.834091,Gambir,https://www.rumah123.com/properti/jakarta-pusat/hos7378430,150.0,150.0,300.0,4,2,0.0,1.0,2.0,1,7666666.67,2300000000.0
120,hos7384481,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos7384481,2300.0,800.0,3100.0,8,8,0.0,0.0,0.0,3,25806451.61,80000000000.0
121,hos7397124,Jakarta Pusat,-6.186486,106.834091,Menteng,https://www.rumah123.com/properti/jakarta-pusat/hos7397124,300.0,266.0,566.0,4,4,0.0,0.0,3.0,2,44169611.31,25000000000.0
122,hos1340154,Jakarta Barat,-6.168329,106.758849,Tomang,https://www.rumah123.com/properti/jakarta-barat/hos1340154,180.0,82.0,262.0,3,3,0.0,0.0,0.0,1,14694656.49,3850000000.0
123,hos2292089,Jakarta Barat,-6.168329,106.758849,Green Ville,https://www.rumah123.com/properti/jakarta-barat/hos2292089,90.0,48.0,138.0,3,3,0.0,0.0,0.0,3,10072463.77,1390000000.0
124,hos2591386,Jakarta Barat,-6.168329,106.758849,Duri Kepa,https://www.rumah123.com/properti/jakarta-barat/hos2591386,140.0,70.0,210.0,3,3,0.0,1.0,0.0,3,8000000.0,1680000000.0
125,hos2995079,Jakarta Barat,-6.168329,106.758849,Tomang,https://www.rumah123.com/properti/jakarta-barat/hos2995079,175.0,75.0,250.0,4,4,0.0,0.0,0.0,3,11600000.0,2900000000.0
126,hos3326295,Jakarta Barat,-6.168329,106.758849,Green Lake City,https://www.rumah123.com/properti/jakarta-barat/hos3326295,160.0,165.0,325.0,3,3,0.0,1.0,2.0,2,9230769.23,3000000000.0
